Study Name,PI Name,HEAL Research Program,Core CDE Measures,Domain,Questionnaire
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Validation of a novel cortical biomarker signature for pain,Joyce Teiweira Da Silva,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
MRI-based quantitative characterization of impaired myofascial interface properties in myofascial pain syndrome,Ziying Yin,MPS- Myofascial Pain,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Innervation of the knee and TMJ,Kyle Allen,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
From Nerve to Brain: Toward a Mechanistic Understanding of Spinal Cord Stimulation in Human Subjects,Brian Wainger,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
INTERCEPT: Integrated Research Center for human Pain Tissues,Robert Gereau,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Equity Using Interventions for Pain and Depression (EQUIPD),Marianne Matthias,Health Equity in Pain Management,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Integrating Nonpharmacologic Strategies for Pain with Inclusion Respect and Equity (INSPIRE): Tailored digital tools telehealth coaching and primary care coordination,Jason Satterfield,Health Equity in Pain Management,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Optimizing the use of ketamine to reduce chronic postsurgical pain,Jing Wang,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Claudia Campbell,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Wake Forest NCORP Research Base,Glenn Lesser,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Integrated Treatment for Veterans with Co-Occurring Chronic Pain and Opioid Use Disorder,Katie Witkiewitz,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Addressing the chronic pain epidemic among older adults in underserved community center; The GetActive+ study,Ana-Maria Vranceanu,Health Equity in Pain Management,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Imaging Epigenetic Dysregulation in Patients with Low Back Pain,Hsiao-Ying Wey,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Pain Response Evaluation of a Combined Intervention to Cope Effectively (PRECICE),Dennis Chua  Ang,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Fibromyalgia TENS in Physical Therapy Study (TIPS):an embedded pragmatic clinical trial,Kathleen  Sluka,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Hybrid Effectiveness-Implementation Trial of Guided Relaxation and Acupuncture for Chronic Sickle Cell Disease Pain,Adrith  Doorenbos,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Pragmatic Trial of Acupuncture for Chronic Low Back Pain in Older Adults,Lynn Debar,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Randomized Clinical Trial Intervention to Treat Chronic Pain Among Persons Maintained on Methadone for Opioid Use Disorder,Kelly  Dunn,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Mentoring in Discovery and Validation of Clinical Chronic Pain Biomarkers,Sean Mackey,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Discovery and Analytical Validation of Inflammatory Bio-Signatures of the Human Pain Experience,Alan Prossin,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Predictive biosignature for endoscopic therapy for chronic pancreatitis pain,Lisa  Doan,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Sensory Phenotyping to Enhance Neuropathic Pain Drug Development,Roy Freeman,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Impact of discrimination on pain management in adults with sickle cell disease,Lakeya McGill,K12 - National K12 Clinical Pain Career Development,Pain Catastrophizing Scale- 13 (PCS-13),Pain Catastrophizing,PCS
Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pedram Hamrah,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Partners for Pain & Wellbeing Equity: A Randomized Trial of Community Supported Complementary and Integrative Health Self Management for Back Pain,Roni Evans,Health Equity in Pain Management,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Human Nociceptor and Spinal Cord Molecular Signature Center,Ted  Price,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
EPPIC-Net: Platform Protocol to Assess Treatments for Painful Diabetic Peripheral Neuropathy,Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
EPPIC-Net: Novaremed Painful Diabetic Peripheral Neuropathy ISA (EN21-01),Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
A Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects With Knee Osteoarthritis Pain.,Maurizio Fava,EPPIC Net- Early Phase Pain Investigation Clinical Network,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Group-based Integrative Pain Management: A multi-level approach to address intersectional stigma and social isolation in diverse primary care safety net patients with chronic pain,Maria Chao,Health Equity in Pain Management,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Quantifying and Treating Myofascial Dysfunction in Post Stroke Shoulder Pain,Preeti  Raghavan,MPS- Myofascial Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Multimodal imaging biomarkers for investigating fascia muscle and vasculature in myofascial pain,Siddhartha Sikdar,MPS- Myofascial Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
HEALing LB3P: Profiling Biomechanical Biological and Behavioral Phenotypes,Gwendolyn Sowa,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Healing Opioid Misuse and Pain Through Engagement (HOPE) Trial,Katie Witkiewitz,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Novel Imaging of Endplate Biomarkers in Chronic Low Back Pain,Aaron Fields,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Nonpharmacologic Pain Management for Lumbar Surgery,Julie Fritz,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
The Spine Phenome Project: Enabling Technology for Personalized Medicine,William Marras,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
A Randomized Clinical Trial to Evaluate Non-Pharmacologic and Pharmacologic Approaches for Reducing Pain and Opioid Use Among Patients Treated with Maintenance Hemodialysis,Laura Bernardo,HOPE,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Tailored Retention and Engagement for Equitable Treatment of OUD and Pain (TREETOP),Jessica Merlin,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Harvard PRECISION Human Pain Center,William Renthal,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Cancer Pain Management: A Technology-Based Intervention for Asian American Breast Cancer Survivors,Eun-Ok Im,Health Equity in Pain Management,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Development Evaluation and Translation of Robotic Apparel for Alleviating Low Back Pain,Conor Walsh,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Total-body PET for assessing myofascial pain,Abhijit Chaudhari,MPS- Myofascial Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Wearable nanocomposite sensor system for diagnosing mechanical sources of low back pain and guiding rehabilitation,Anton Bowden,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Development and identification of magnetic resonance electrophysiological and fiber-optic imaging biomarkers of myofascial pain,Song Hu,MPS- Myofascial Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Understanding the Mechanistic Neurophysiological and Antinociceptive Effects of Transcutaneous Auricular Neurostimulation for Treatment of Chronic Pain,Denise Wilkes,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Technology Research Site for Advanced Faster Quantitative Imaging for BACPAC,Sharmila Majumdar,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Comprehensive functional phenotyping of trigeminal neurons innervating temporomandibular joint (TMJ) tissues in male female and aged mice primates and humans with and without TMJ disorders (TMJD),Armen Akopian,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Focused Ultrasound Neuromodulation of Dorsal Root Ganglion for Noninvasive Mitigation of Low Back Pain,Lubdha  Shah,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
COMEBACK,Jeffrey Lotz,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Neural architecture of the murine and human temporomandibular joint,Christopher Donnelly,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Mapping the joint-nerve interactome of the knee,Anne-Marie Malfait,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Development and Validation of a Noninvasive Multimodal Ultrasound-Based Imaging Biomarker for Myofascial Pain,Ajay Wasan,MPS- Myofascial Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Proof of Concept Study to Treat Negative Affect in Chronic Low Back Pain,Ajay Wasan,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
SMART Stepped Care Management for Low Back Pain in Military Health System,Julie Fritz,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Randomized-controlled trial of virtual reality for chronic lower back pain to improve patient-reported outcomes and physical activity,Brennan Spiegel,BACPAC- Back Pain Consortium Research Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Stepped Care for Patients to Optimize Whole Recovery (SC-POWR),William Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Pain Care At Home to Amplify Function (Pain CHAMP),William  Becker,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Intergrated Care for Chronic Pain and Opioid Use Disorder: The IMPOWR Research Center at Montefiore/Einstein (IMPOWR-ME),Joanna  Starrels,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Transition from Acute to Chronic Pain After Thoracic Surgery,Chad  Brummett,A2CPS- Acute to Chronic Pain Signatures Program,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Non-pharmacological Options in postoperative Hospital-based And Rehabilitation pain Management (NOHARM) pragmatic clinical trial,Andrea Cheville,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Group-Based Mindfulness for Patients with Chronic Low Back Pain in the Primary Care,Natalia Morone,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
RESOLVE- Tailored Non-Pharmacotherapy Services for Chronic Pain: Testing Scalable and Pragmatic Approaches,Lynn Debar,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
"Achieving Equity through SocioCulturally-informed Digitally-Enabled Cancer Pain managemeNT"" (ASCENT) Clinical Trial",Andrea Cheville,Health Equity in Pain Management,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Integrating Tailored Postoperative Opioid Tapering and Pain Management Support for Patients on Long-Term Opioid Use Presenting for Spine Surgery (MIRHIQL),Jennifer Hah,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Pain management in advanced kidney disease,Jessica Ma,K12 - National K12 Clinical Pain Career Development,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Optimizing Patient-Centered Opioid Tapering with Mindfulness-Oriented Recovery Enhancement,Eric Garland,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Sequential Trial of Adding Buprenorphine Cognitive Behavioral Treatment and Transcranial Magnetic Stimulation to Improve Outcomes of Long-Term Opioid Therapy for Chronic Pain (ACTION),Kelly Barth,MIRHIQL - Multilevel Interventions to Reduce Harm and Improve Quality of Life for Patients on Long Term Opioid Therapy,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Identifying multimodal biomarkers for autologous serum tears in the treatment of chronic postoperative ocular pain,Rony Sayegh,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
The Penn Human Precision Pain Center (HPPC): Discovery and Functional Evaluation of Human Primary Somatosensory Neuron Types at Normal and Chronic Pain Conditions,WENQIN LUO,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Advancing Rural Back Pain Outcomes with Rehabilitation Telehealth (ARBOR-Telehealth),Richard Skolasky,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Developing Radiocaine NaV imaging as a response monitoring biomarker for chronic pain,Braxton Norwood,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Mechanisms of Action of Peripheral Nerve Stimulation for the Treatment of Chronic Neuropathic Pain,Jennifer Hah,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Peer suppoRt for adolescents and Emerging adults with Sickle cell pain: promoting ENgagement in Cognitive behavioral thErapy (PRESENCE),Charles Jonassaint,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Reaching Rural Veterans: Applying Mind-Body Skills for Pain Using a Whole Health Telehealth Intervention (RAMP),Diana Burgess,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
STREAM,Bridget Mueller,K12 - National K12 Clinical Pain Career Development,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
IMPACT: Integrative Mindfulness-Based Predictive Approach for Chronic low back pain Treatment,Jean King,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
Adapting and Implementing a Nurse Care Management Model to Care for Rural Patients with Chronic Pain,Sebastian Tong,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Pain Catastrophizing Scale- 6 (PCS-6),Pain Catastrophizing,PCS
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- Child (PCS-C),Pain Catastrophizing,PCS
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- Child (PCS-C),Pain Catastrophizing,PCS
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- Child (PCS-C),Pain Catastrophizing,PCS
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,Pain Catastrophizing Scale- Child (PCS-C),Pain Catastrophizing,PCS
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,Pain Catastrophizing Scale- Child (PCS-C),Pain Catastrophizing,PCS
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- Child (PCS-C),Pain Catastrophizing,PCS
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- Parent (PCS-P),Pain Catastrophizing,PCS
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- Parent (PCS-P),Pain Catastrophizing,PCS
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Pain Catastrophizing Scale- Parent (PCS-P),Pain Catastrophizing,PCS
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,Pain Catastrophizing Scale- Parent (PCS-P),Pain Catastrophizing,PCS
Integrative Training Program for Pediatric Sickle Cell Pain,Soumitri Sil,Health Equity in Pain Management,Pain Catastrophizing Scale- Parent (PCS-P),Pain Catastrophizing,PCS
SurgeryPal,Jennifer Rabbitts,ERN- Pain Management Effectiveness Research Network,Pain Catastrophizing Scale- Parent (PCS-P),Pain Catastrophizing,PCS
SPRINT: Signature for Pain Recovery IN Teens,Laura Simons,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Discovery of Biomarker Signatures Prognostic for Neuropathic Pain after Acute Spinal Cord Injury,Georgene Hergenroeder,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Discovery of the Biomarker Signature for Neuropathic Corneal Pain,Pedram Hamrah,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Biomarker Signature to Predict the Persistence of Post-Traumatic Headache,Catherine Chong,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Partners for Pain & Wellbeing Equity: A Randomized Trial of Community Supported Complementary and Integrative Health Self Management for Back Pain,Roni Evans,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Human Nociceptor and Spinal Cord Molecular Signature Center,Ted  Price,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
The Inflammatory Index as a Biomarker for Pain in Patients with Sickle Cell Disease,Amanda  Brandow,Biomarkers- Biomarkers of Exposure Effect and Susceptibility,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
EPPIC-Net: Platform Protocol to Assess Treatments for Painful Diabetic Peripheral Neuropathy,Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
EPPIC-Net: Novaremed Painful Diabetic Peripheral Neuropathy ISA (EN21-01),Jessica Robinson-Papp,EPPIC Net- Early Phase Pain Investigation Clinical Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
A Study to Evaluate the Safety and Efficacy of CNTX-6970 in Subjects With Knee Osteoarthritis Pain.,Maurizio Fava,EPPIC Net- Early Phase Pain Investigation Clinical Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Group-based Integrative Pain Management: A multi-level approach to address intersectional stigma and social isolation in diverse primary care safety net patients with chronic pain,Maria Chao,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Quantifying and Treating Myofascial Dysfunction in Post Stroke Shoulder Pain,Preeti  Raghavan,MPS- Myofascial Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
MRI-based quantitative characterization of impaired myofascial interface properties in myofascial pain syndrome,Ziying Yin,MPS- Myofascial Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Innervation of the knee and TMJ,Kyle Allen,RE JOIN- Restoring Joint Health and Function to Reduce Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Multimodal imaging biomarkers for investigating fascia muscle and vasculature in myofascial pain,Siddhartha Sikdar,MPS- Myofascial Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Culturally adapted mobile treatment of chronic pain in adolescent survivors of pediatric bone sarcoma,Tara Brinkman,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
From Nerve to Brain: Toward a Mechanistic Understanding of Spinal Cord Stimulation in Human Subjects,Brian Wainger,Interdisciplinary Teams to Elucidate the Mechanisms of Device-Based Pain Relief,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
HEALing LB3P: Profiling Biomechanical Biological and Behavioral Phenotypes,Gwendolyn Sowa,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Healing Opioid Misuse and Pain Through Engagement (HOPE) Trial,Katie Witkiewitz,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Novel Imaging of Endplate Biomarkers in Chronic Low Back Pain,Aaron Fields,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
INTERCEPT: Integrated Research Center for human Pain Tissues,Robert Gereau,PRECISION Human Pain- Program to Reveal and Evaluate Cells-to-gene Information that Specify Intricacies Origins and the Nature of Human Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Nonpharmacologic Pain Management for Lumbar Surgery,Julie Fritz,PRISM- Pragmatic and Implementation Studies for the Management of Pain to Rescue Opioid Prescribing,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
The Spine Phenome Project: Enabling Technology for Personalized Medicine,William Marras,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Equity Using Interventions for Pain and Depression (EQUIPD),Marianne Matthias,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
A Randomized Clinical Trial to Evaluate Non-Pharmacologic and Pharmacologic Approaches for Reducing Pain and Opioid Use Among Patients Treated with Maintenance Hemodialysis,Laura Bernardo,HOPE,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Tailored Retention and Engagement for Equitable Treatment of OUD and Pain (TREETOP),Jessica Merlin,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Implementation and Effectiveness of Mindfulness Oriented Recovery Enhancement as an Adjunct to Methadone Treatment for Opioid Use Disorder,Nina Cooperman,IMPOWR- Integrative Management of chronic Pain and OUD for whole Recovery,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Integrating Nonpharmacologic Strategies for Pain with Inclusion Respect and Equity (INSPIRE): Tailored digital tools telehealth coaching and primary care coordination,Jason Satterfield,Health Equity in Pain Management,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
HEAL Initiative: Developing Quantitative Imaging and Other Relevant Biomarkers of Myofascial Tissues for Clinical Pain Management,Seward Rutkove,MPS- Myofascial Pain,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
UM MRC BACPAC,Afton Hassett,BACPAC- Back Pain Consortium Research Program,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Optimizing the use of ketamine to reduce chronic postsurgical pain,Jing Wang,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
A sequenced-strategy for improving outcomes in patients with knee osteoarthritis pain,Claudia Campbell,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
Wake Forest NCORP Research Base,Glenn Lesser,ERN- Pain Management Effectiveness Research Network,Patient Global Impression of Change (PGIC),Global Satisfaction with Treatment,
